brand,product_name,original_price,discounted_price,rating,product_url,breadcrumbs,category
HOMEOTIC,Matte Bullet Lipstick - 5 ml,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/homeotic/homeotic-long-lasting-matte-bullet-lipstick---5--ml---red-1/41599863/buy,Home / Personal Care / Lipstick,Lipstick
alphaaromatica,Long Lasting Lipstick - 5 ml,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/alphaaromatica/alphaaromatica-long-lasting-matte-bullet-lipstick---5-ml----brown-06/41599835/buy,Home / Personal Care / Lipstick,Lipstick
Renee,Matte Lipstick-3.5gm-Rouge,Rs. 199,Rs. 175,|4.4k,https://www.myntra.comlipstick/renee/renee-matte-lipstick-35gm-rouge/30420465/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-104-105-106-204,Rs. 996,Rs. 175,|26,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-104-105-106-204/30544487/buy,Home / Personal Care / Lipstick,Lipstick
alphaaromatica,Long Lasting Lipstick - 5 ml,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/alphaaromatica/alphaaromatica-long-lasting-matte-bullet-lipstick---5-ml----red-01/41599832/buy,Home / Personal Care / Lipstick,Lipstick
Renee,Matte Lipstick-3.5gm-Petal,Rs. 199,Rs. 175,|4.4k,https://www.myntra.comlipstick/renee/renee-matte-lipstick-35gm-petal/30420464/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-101-102-103-105,Rs. 996,Rs. 175,|29,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-101-102-103-105/30544443/buy,Home / Personal Care / Lipstick,Lipstick
HOMEOTIC,Matte Bullet Lipstick - 5 ml,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/homeotic/homeotic-long-lasting-matte-bullet-lipstick---5--ml---brown-06/41599702/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-106-202-203-204,Rs. 996,Rs. 175,|17,https://www.myntra.comlipstick/vozo/vozo-set-of-4-matte-finish-liquid-lipsticks-106-202-203-204/30544477/buy,Home / Personal Care / Lipstick,Lipstick
YELGO,Set of 4 Nude Lipstick,Rs. 999,Rs. 155,|153,https://www.myntra.comlipstick/yelgo/yelgo-mini-lipstick-combo-pack-of-4-nude-shade-liquid-matte-mini-lipstick/30964080/buy,Home / Personal Care / Lipstick,Lipstick
gelunix,Matte Bullet Lipstick - 5 ml,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/gelunix/gelunix-long-lasting-matte-bullet-lipstick---5-ml---red-01/41599666/buy,Home / Personal Care / Lipstick,Lipstick
Hilary Rhoda,Liquid Lipstick - 5 ml,Rs. 269,Rs. 221,N/A,https://www.myntra.comlipstick/hilary+rhoda/hilary-rhoda-touch-of-mousse-liquid-lipstick--hot-red---shade-16---5-ml/41047793/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-103-105-106-202,Rs. 996,Rs. 175,|28,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-103-105-106-202/30544494/buy,Home / Personal Care / Lipstick,Lipstick
New.You,Non Transfer Lipstick - 5 ml,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/new.you/newyou-non-transfer-matte-lipstick---5-ml---shade-06/41599423/buy,Home / Personal Care / Lipstick,Lipstick
